field_path,coverage_pct,present_docs,types_seen,array_elem_types,examples
tot_carb.type,1.476,192,string:192,,"""nmdc:QuantityValue"""
tot_nitro,0.792,103,object:103,,"{""has_numeric_value"": 0.11, ""has_raw_value"": ""0.11 Percent"", ""has_unit"": ""Percent"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.34, ""has_raw_value"": ""0.34 Percent"", ""has_unit"": ""Percent"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.468, ""has_raw_value"": ""0.468 Percent"", ""has_unit"": ""Percent"", ""type"": ""nmdc:QuantityValue""}"
tot_nitro.has_numeric_value,0.792,103,number:103,,0.11 | 0.34 | 0.468
tot_nitro.has_raw_value,0.792,103,string:103,,"""0.11 Percent"" | ""0.34 Percent"" | ""0.468 Percent"""
tot_nitro.has_unit,0.792,103,string:103,,"""Percent"""
tot_nitro.type,0.792,103,string:103,,"""nmdc:QuantityValue"""
tot_nitro_content,11.01,1432,object:1432,,"{""has_numeric_value"": 0.019, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 2.6717, ""has_raw_value"": ""2.6717"", ""has_unit"": ""%"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.143, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
tot_nitro_content.has_numeric_value,11.01,1432,"number:1429, integer:3",,0.019 | 2.6717 | 0.143
tot_nitro_content.has_raw_value,1.476,192,string:192,,"""2.6717"" | ""1.7439"" | ""1.0692"""
tot_nitro_content.has_unit,11.01,1432,string:1432,,"""mg/L"" | ""%"""
tot_nitro_content.type,11.01,1432,string:1432,,"""nmdc:QuantityValue"""
tot_org_carb,0.246,32,object:32,,"{""has_numeric_value"": 5.19, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 4.78, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 6.35, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
tot_org_carb.has_numeric_value,0.2,26,number:26,,5.19 | 4.78 | 6.35
tot_org_carb.has_raw_value,0.046,6,string:6,,"""0.50%"" | ""0.60%"""
tot_org_carb.has_unit,0.2,26,string:26,,"""mg/L"""
tot_org_carb.type,0.246,32,string:32,,"""nmdc:QuantityValue"""
tot_phosp,1.322,172,object:172,,"{""has_numeric_value"": 0.0, ""has_raw_value"": ""0 ppm"", ""has_unit"": ""ppm"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 2.2, ""has_raw_value"": ""2.2 ppm"", ""has_unit"": ""ppm"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.1, ""has_raw_value"": ""0.1 ppm"", ""has_unit"": ""ppm"", ""type"": ""nmdc:QuantityValue""}"
tot_phosp.has_numeric_value,1.322,172,number:172,,0.0 | 2.2 | 0.1
tot_phosp.has_raw_value,0.976,127,string:127,,"""0 ppm"" | ""2.2 ppm"" | ""0.1 ppm"""
tot_phosp.has_unit,1.322,172,string:172,,"""ppm"" | ""mg/L"""
tot_phosp.type,1.322,172,string:172,,"""nmdc:QuantityValue"""
type,100.0,13006,string:13006,,"""nmdc:Biosample"""
water_content,33.3,4331,array:4331,string:4331,"[""0.218 g of water/g of dry soil""] | [""0.66 g of water/g of dry soil""] | [""0.07 g of water/g of dry soil""]"
watering_regm,0.815,106,array:106,object:106,"[{""has_raw_value"": ""seedlings acclimated for two weeks with daily watering for 1 hour, followed by 4 weeks of drought… | [{""has_raw_value"": ""daily watering for 1 hour prior to sampling"", ""type"": ""nmdc:TextValue""}]"
watering_regm[].has_raw_value,0.815,106,string:106,,"""seedlings acclimated for two weeks with daily watering for 1 hour, followed by 4 weeks of drought (no water access)"" | ""daily watering for 1 hour prior to sampling"""
watering_regm[].type,0.815,106,string:106,,"""nmdc:TextValue"""
wind_direction,1.476,192,object:192,,"{""has_raw_value"": ""124.5"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""32.2"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""19.6"", ""type"": ""nmdc:TextValue""}"
wind_direction.has_raw_value,1.476,192,string:192,,"""124.5"" | ""32.2"" | ""19.6"""
wind_direction.type,1.476,192,string:192,,"""nmdc:TextValue"""
wind_speed,1.476,192,object:192,,"{""has_numeric_value"": 2.96, ""has_raw_value"": ""2.96"", ""has_unit"": ""m/s"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 1.29, ""has_raw_value"": ""1.29"", ""has_unit"": ""m/s"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 1.89, ""has_raw_value"": ""1.89"", ""has_unit"": ""m/s"", ""type"": ""nmdc:QuantityValue""}"
wind_speed.has_numeric_value,1.476,192,number:192,,2.96 | 1.29 | 1.89
wind_speed.has_raw_value,1.476,192,string:192,,"""2.96"" | ""1.29"" | ""1.89"""
wind_speed.has_unit,1.476,192,string:192,,"""m/s"""
wind_speed.type,1.476,192,string:192,,"""nmdc:QuantityValue"""
zinc,0.792,103,object:103,,"{""has_numeric_value"": 2.2636, ""has_raw_value"": ""2.2636 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 7.2942, ""has_raw_value"": ""7.2942 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 7.5442, ""has_raw_value"": ""7.5442 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""}"
zinc.has_numeric_value,0.792,103,number:103,,2.2636 | 7.2942 | 7.5442
zinc.has_raw_value,0.792,103,string:103,,"""2.2636 mg/kg"" | ""7.2942 mg/kg"" | ""7.5442 mg/kg"""
zinc.has_unit,0.792,103,string:103,,"""mg/kg"""
zinc.type,0.792,103,string:103,,"""nmdc:QuantityValue"""
